gene	mean	lfc	p	padj	group1	group2	contrast	isDE
NonamEVm002617	5666.3829427127475	6.229516378167911	1.1090854878449915e-106	1.0975509987714035e-102	long	short	long_short	TRUE
NonamEVm003974	5037.651508484509	5.449551768110946	6.724873791226367e-79	3.327467551898806e-75	long	short	long_short	TRUE
NonamEVm007394	951.7363797519067	7.303032228256159	1.150275002754308e-70	3.7943738090855437e-67	long	short	long_short	TRUE
NonamEVm008498	189.75039243145108	-6.534005389586015	1.2172168825424852e-55	3.0113945674101086e-52	long	short	long_short	TRUE
NonamEVm008159	536.4028246779387	5.709892951081505	8.89649533808594e-53	1.7607943573139693e-49	long	short	long_short	TRUE
NonamEVm007662	459.3700166953524	5.394643609954999	1.1040949684151124e-50	1.8210206345726587e-47	long	short	long_short	TRUE
NonamEVm004057	966.5930611359946	-5.195448636772866	1.5369663660021248e-49	2.1728313082795752e-46	long	short	long_short	TRUE
NonamEVm007987	719.659729224346	4.303581572356687	6.361187192112727e-48	7.868788556643443e-45	long	short	long_short	TRUE
NonamEVm008525	686.4493085716001	4.683274867306705	3.400438372384704e-46	3.738970903679893e-43	long	short	long_short	TRUE
NonamEVm001458	139.7785528457942	-5.934589645884134	3.9221992445719e-45	3.8814083724283526e-42	long	short	long_short	TRUE
NonamEVm002738	1248.5515523707281	9.222277318914388	1.9456236750424324e-44	1.7503538080199919e-41	long	short	long_short	TRUE
NonamEVm007454	3773.176888915582	12.04498420397534	3.493832807550191e-42	2.8812474552930574e-39	long	short	long_short	TRUE
NonamEVm006311	1601.5517389635033	5.778582937663555	3.621255991158028e-39	2.7566114837307576e-36	long	short	long_short	TRUE
NonamEVm012006	8117.375642118969	4.772737444467921	3.1328338348505124e-38	2.2144659735486195e-35	long	short	long_short	TRUE
NonamEVm000925	331.85650025379357	-3.4929218734306002	1.935759420632478e-37	1.2770850151052669e-34	long	short	long_short	TRUE
NonamEVm000203	906.0079179984931	8.806853676760916	2.9918053177631476e-37	1.8504315890365067e-34	long	short	long_short	TRUE
NonamEVm005882	480.88815668344154	-3.5271351766037786	7.283266997718234e-37	4.239718247612921e-34	long	short	long_short	TRUE
NonamEVm005186	691.9522890143836	-3.611532566830601	3.853843058991875e-36	2.1187572728768668e-33	long	short	long_short	TRUE
NonamEVm000522	574.4868631746183	-3.8147316447746666	1.9664475761385778e-35	1.0242086954456508e-32	long	short	long_short	TRUE
NonamEVm002135	1868.686489604675	-3.89583472044082	3.095388762737319e-35	1.5315983598024256e-32	long	short	long_short	TRUE
NonamEVm000286	273.3508147125202	-3.582709528508925	5.262746259297423e-35	2.4800065229527284e-32	long	short	long_short	TRUE
NonamEVm000371	361.1353322574743	-3.5592954679452595	6.058569542440305e-35	2.725254735999512e-32	long	short	long_short	TRUE
NonamEVm002832	504.4887094399729	-3.1097721152230937	2.396583731286665e-33	1.0311562002092538e-30	long	short	long_short	TRUE
NonamEVm005616	226.05179970780435	5.836442577285033	2.7799884383136132e-33	1.1462818993979799e-30	long	short	long_short	TRUE
NonamEVm012884	670.7946378098432	8.82103234680569	3.0914529804698954e-33	1.2237207477892033e-30	long	short	long_short	TRUE
NonamEVm001029	316.0805593022439	-3.5442197371052733	4.872742321218789e-33	1.8546406927223516e-30	long	short	long_short	TRUE
NonamEVm000207	4439.887186478635	3.9161328022936313	1.0238233015718005e-32	3.752501997168347e-30	long	short	long_short	TRUE
NonamEVm002391	442.7816436215013	7.941467478352653	7.079287041845606e-32	2.50202230593229e-29	long	short	long_short	TRUE
NonamEVm001496	323.9540019032893	-2.9864644625112073	1.8679101620549586e-31	6.374082401274438e-29	long	short	long_short	TRUE
NonamEVm006415	212.77965757035957	5.02109377665632	2.685831508446622e-31	8.859662869195923e-29	long	short	long_short	TRUE
NonamEVm003890	800.7331225568129	-2.787307064377595	6.782545592699994e-31	2.1651635866244887e-28	long	short	long_short	TRUE
NonamEVm000005	2848.38744362212	-3.793839265442534	1.2691922301419878e-30	3.9249769717140973e-28	long	short	long_short	TRUE
NonamEVm000032	491.5576822915849	-3.3441869729861207	4.538313677832048e-30	1.3609440047219982e-27	long	short	long_short	TRUE
NonamEVm003271	768.5445997063372	-3.097411801833125	5.342028400026901e-30	1.5548445013725357e-27	long	short	long_short	TRUE
NonamEVm004688	353.24515588980125	-2.852343906323592	1.1015956146247253e-29	3.1146829149503662e-27	long	short	long_short	TRUE
NonamEVm001259	130.11391589337276	-3.5488942891163155	1.5453564115209821e-29	4.248013069003234e-27	long	short	long_short	TRUE
NonamEVm000553	436.13069373886964	8.21499575556144	2.9326341591934244e-29	7.843607470102198e-27	long	short	long_short	TRUE
NonamEVm008824	1005.1445485361826	4.23829827440391	8.554795362202567e-29	2.2278488132725423e-26	long	short	long_short	TRUE
NonamEVm008205	160.49896245427516	-3.7648437254497047	1.3559927488720408e-28	3.4407446776506963e-26	long	short	long_short	TRUE
NonamEVm007451	1612.916480151641	11.41133400163533	4.49195508395392e-28	1.1113096877701997e-25	long	short	long_short	TRUE
NonamEVm002305	508.19028881256725	-2.6167170286364416	4.761487885055183e-28	1.1492605880611242e-25	long	short	long_short	TRUE
NonamEVm000056	329.8987228936895	-3.294011391439584	5.309029447732603e-28	1.2509084622562343e-25	long	short	long_short	TRUE
NonamEVm007587	234.33923462145415	-3.2261195589631138	5.562051043571888e-28	1.280047840167149e-25	long	short	long_short	TRUE
NonamEVm000066	2032.611667622898	-3.144234603533779	1.5637293328430223e-26	3.516969426776034e-24	long	short	long_short	TRUE
NonamEVm007453	1288.3232075156304	12.8967079083692	1.665379813109484e-26	3.662355251229211e-24	long	short	long_short	TRUE
NonamEVm001167	447.59288167921795	-2.4903196641788603	1.7041825458540865e-26	3.666215320385226e-24	long	short	long_short	TRUE
NonamEVm000050	401.8524789943729	-4.602607318926161	1.2664642172928226e-25	2.6665808285808027e-23	long	short	long_short	TRUE
NonamEVm004427	364.69290300556275	-2.50098099140057	1.432891966076383e-25	2.9541456033941426e-23	long	short	long_short	TRUE
NonamEVm000007	1666.9535330355402	-2.5983768727507326	2.0425439931732096e-25	4.1251051747840985e-23	long	short	long_short	TRUE
NonamEVm002280	142.32837641398245	-3.1830243284607698	4.0548616809386414e-25	8.025382238913759e-23	long	short	long_short	TRUE
NonamEVm007597	2459.328036970261	3.55626901290673	7.198014790003681e-25	1.390408013025821e-22	long	short	long_short	TRUE
NonamEVm002592	460.193314714049	-2.6646132777015104	7.306105161412964e-25	1.390408013025821e-22	long	short	long_short	TRUE
NonamEVm008550	158.77873773067992	3.9450212114326897	9.056347728469358e-25	1.6909739079421275e-22	long	short	long_short	TRUE
NonamEVm000445	158.2428472479408	-3.5113362208965606	1.976197500936517e-24	3.6215649017162543e-22	long	short	long_short	TRUE
NonamEVm000357	5710.591664852652	-2.936888211856787	2.129170999341685e-24	3.830959310815512e-22	long	short	long_short	TRUE
NonamEVm010870	572.9619437678892	3.3929231594904747	2.181193448128748e-24	3.8544804219075164e-22	long	short	long_short	TRUE
NonamEVm001944	293.6696140051358	-3.870069996644135	4.20044110084214e-24	7.292555286655055e-22	long	short	long_short	TRUE
NonamEVm012198	375.4574858451412	3.0668626910600927	6.591123295664088e-24	1.1245820023084794e-21	long	short	long_short	TRUE
NonamEVm003315	1524.869448355315	-2.132158483273018	7.069338398696584e-24	1.1857317422627354e-21	long	short	long_short	TRUE
NonamEVm007961	307.4105536918496	3.6454965180406362	9.340291164827415e-24	1.5405253561188682e-21	long	short	long_short	TRUE
NonamEVm007941	189.30348441439418	-4.097222412645164	1.8042552442027024e-23	2.9270344092835968e-21	long	short	long_short	TRUE
NonamEVm004775	130.9942403204576	-4.0957985900731275	2.1435281311306314e-23	3.4213474815594725e-21	long	short	long_short	TRUE
NonamEVm001651	116.14067953453186	-3.5698228753134953	2.5040241057818503e-23	3.93330516679638e-21	long	short	long_short	TRUE
NonamEVm000532	181.63282167317473	-3.325209464547036	2.901319373454256e-23	4.486165081203643e-21	long	short	long_short	TRUE
NonamEVm010664	94.37947940819772	-4.667087414483591	4.1661282087859395e-23	6.342769962176255e-21	long	short	long_short	TRUE
NonamEVm000065	1569.1396251852755	-2.8584730662204834	4.654244560509287e-23	6.978546086484834e-21	long	short	long_short	TRUE
NonamEVm000913	334.2183123352204	-2.3975083572088494	5.388108257776237e-23	7.958316316261737e-21	long	short	long_short	TRUE
NonamEVm004421	345.9808480522695	3.0932497243067623	5.611046890673947e-23	8.165723533839615e-21	long	short	long_short	TRUE
NonamEVm005825	118.81511926245632	-4.057834068420787	6.36303812487385e-23	9.125887722282843e-21	long	short	long_short	TRUE
NonamEVm000139	1846.656210755285	-2.4162024623503697	7.815018127310625e-23	1.1048202769695134e-20	long	short	long_short	TRUE
NonamEVm003297	188.56520253898074	6.67957019365186	8.658658372712584e-23	1.2068462430473764e-20	long	short	long_short	TRUE
NonamEVm007478	1390.0477851312849	12.044024732107678	1.1243463169607805e-22	1.5453515489783173e-20	long	short	long_short	TRUE
NonamEVm000030	1779.8880158371564	-2.391517088041799	1.18006769270716e-22	1.599719162606857e-20	long	short	long_short	TRUE
NonamEVm007023	627.7999306009043	11.860273264811894	1.2035803539015868e-22	1.6095447543527167e-20	long	short	long_short	TRUE
NonamEVm003221	1716.9970075189306	-2.72543051495824	1.2213538146589463e-22	1.6115356466486577e-20	long	short	long_short	TRUE
NonamEVm003788	69.28649807746116	-4.91879847976242	1.6402157653244797e-22	2.1357335807435594e-20	long	short	long_short	TRUE
NonamEVm001749	357.09613682566106	-2.387655244658165	5.054778954916246e-22	6.496375654266385e-20	long	short	long_short	TRUE
NonamEVm000688	59.97907864276781	-4.895024912167352	6.648991644776466e-22	8.435695040603579e-20	long	short	long_short	TRUE
NonamEVm005433	309.7625966556501	8.44802606416456	7.195217824634479e-22	9.013148809187697e-20	long	short	long_short	TRUE
NonamEVm006800	319.6359786297861	5.735709183264985	7.758424152609324e-22	9.597170676777734e-20	long	short	long_short	TRUE
NonamEVm002581	504.8342518969802	-2.776748452509544	8.192345448492356e-22	1.0008821056577821e-19	long	short	long_short	TRUE
NonamEVm001187	144.6043939251053	6.05848496134821	1.2797855995591375e-21	1.5444827186874666e-19	long	short	long_short	TRUE
NonamEVm007583	103962.03966045355	-2.230879041641219	2.362266161924489e-21	2.8165043299282823e-19	long	short	long_short	TRUE
NonamEVm005847	15418.720807696214	-2.4381433780938724	4.0128949397540495e-21	4.727572419500723e-19	long	short	long_short	TRUE
NonamEVm000823	209.54475097304953	-3.4377632607151187	4.9078038783596924e-21	5.713838491793825e-19	long	short	long_short	TRUE
NonamEVm000260	234.01119901831078	-3.613252037286799	5.2109823319755256e-21	5.996265250840675e-19	long	short	long_short	TRUE
NonamEVm000180	1018.1871038628051	-2.425874098469454	6.167450241581756e-21	7.015297424217594e-19	long	short	long_short	TRUE
NonamEVm000058	118.42778598963133	-4.456204202336994	1.1499813634859099e-20	1.2788032018014833e-18	long	short	long_short	TRUE
NonamEVm000115	211.30855719742212	-2.778352664643958	1.1500958464059419e-20	1.2788032018014833e-18	long	short	long_short	TRUE
NonamEVm007501	248.99967410147173	4.484640209630321	1.2165953488280421e-20	1.3377141746669226e-18	long	short	long_short	TRUE
NonamEVm000001	1983.171077897396	-2.1975686705767727	1.3851882553316907e-20	1.5063541730508145e-18	long	short	long_short	TRUE
NonamEVm002556	53.39385511841849	-4.0493833041148	1.5926098955623847e-20	1.7130942963571042e-18	long	short	long_short	TRUE
NonamEVm004397	194.8569437649172	3.8411135276463884	2.325476328018252e-20	2.4745068539858734e-18	long	short	long_short	TRUE
NonamEVm001199	1668.44183287037	-2.239155306193981	2.470326186123541e-20	2.6006753125402725e-18	long	short	long_short	TRUE
NonamEVm002891	252.53605345900874	3.137037890436947	2.5775488385325235e-20	2.6849919269597736e-18	long	short	long_short	TRUE
NonamEVm005443	264.44724936725004	-2.576058104640045	5.425755678258215e-20	5.593049811671176e-18	long	short	long_short	TRUE
NonamEVm000018	438.79462747106436	-2.4688750610809453	6.110666743576599e-20	6.234140009735467e-18	long	short	long_short	TRUE
NonamEVm004648	115.77829179315567	-3.9860500254871862	7.599558990312538e-20	7.674003649809478e-18	long	short	long_short	TRUE
NonamEVm011938	66.94897176859035	-3.6560017200582235	7.910922525192084e-20	7.907726192858672e-18	long	short	long_short	TRUE
NonamEVm000039	626.224234451493	-2.532784756485264	9.81215383346666e-20	9.710107433598606e-18	long	short	long_short	TRUE
NonamEVm000051	234.38943232661552	-2.565375311526007	1.0307016478873738e-19	1.009883515593411e-17	long	short	long_short	TRUE
NonamEVm002488	130.13009517249552	-2.9579649842536937	1.144486428325551e-19	1.1103762445793777e-17	long	short	long_short	TRUE
NonamEVm007152	767.7301577008394	3.1716779242423097	1.1765873444009408e-19	1.1304377048729815e-17	long	short	long_short	TRUE
NonamEVm002683	167.13923740549276	4.68617938893029	1.326035702326102e-19	1.2497570771637246e-17	long	short	long_short	TRUE
NonamEVm000028	1316.8966328558759	-2.368993090135733	1.3209567564050901e-19	1.2497570771637246e-17	long	short	long_short	TRUE
NonamEVm004674	1226.5564851021804	-2.3608342126219704	1.4833350255200131e-19	1.3848191898628348e-17	long	short	long_short	TRUE
NonamEVm000338	431.0618420822671	-2.1853948192086694	1.5219948771420077e-19	1.4076318975885334e-17	long	short	long_short	TRUE
NonamEVm000073	289.91354793980213	-2.4511155581871935	1.6389921714166206e-19	1.501802456327674e-17	long	short	long_short	TRUE
NonamEVm001495	82.74660393499039	-3.9519904940901807	2.3325045761061765e-19	2.1176573656097912e-17	long	short	long_short	TRUE
NonamEVm005278	231.61909949410781	-2.9900870741037533	2.8049697789814558e-19	2.5234528120727715e-17	long	short	long_short	TRUE
NonamEVm008658	367.52313737371617	3.271627499492022	3.021864574012275e-19	2.6940875517500426e-17	long	short	long_short	TRUE
NonamEVm000299	114.83949377204547	-3.14120261839015	3.3414237662950764e-19	2.9262592558633697e-17	long	short	long_short	TRUE
NonamEVm000265	287.1936613136722	-2.6056113961526477	3.3237234835608345e-19	2.9262592558633697e-17	long	short	long_short	TRUE
NonamEVm004980	100.43719581288006	-3.968576585488177	3.6610269594467906e-19	3.1780283149724066e-17	long	short	long_short	TRUE
NonamEVm000200	320.9772107644552	-2.503914517160084	3.75454742342965e-19	3.230869678457375e-17	long	short	long_short	TRUE
NonamEVm002951	39.57625023621159	-5.351521529913993	4.849918596029792e-19	4.115078235064947e-17	long	short	long_short	TRUE
NonamEVm000261	641.0457747273181	-2.1005879060600754	4.86524003135205e-19	4.115078235064947e-17	long	short	long_short	TRUE
NonamEVm000851	4110.383896735736	-2.541461324666107	9.530624178707624e-19	7.992801429872088e-17	long	short	long_short	TRUE
NonamEVm000243	108.81833110852052	-3.129225546795038	1.178524300432893e-18	9.800568468137739e-17	long	short	long_short	TRUE
NonamEVm000143	179.61479163867506	-2.6028498190546068	1.193556994619837e-18	9.842866682298256e-17	long	short	long_short	TRUE
NonamEVm002371	236.3045199921671	-3.0370263594966955	1.2710747172259064e-18	1.0395500331956669e-16	long	short	long_short	TRUE
NonamEVm000017	802.7676153678998	-3.4512638343992177	1.2838429609702237e-18	1.0413860608001092e-16	long	short	long_short	TRUE
NonamEVm000031	465.9808021307007	-2.0134923120139794	1.9667103085826117e-18	1.5823223751002867e-16	long	short	long_short	TRUE
NonamEVm008535	3074.705493535699	13.190019894171632	2.0242528159371483e-18	1.6154843440737115e-16	long	short	long_short	TRUE
NonamEVm000263	409.6207855916418	-2.752984220403297	2.2401170895952994e-18	1.7734558974908067e-16	long	short	long_short	TRUE
NonamEVm000647	384.461917006486	-2.553035034235798	4.0160241542716916e-18	3.1541726214819575e-16	long	short	long_short	TRUE
NonamEVm000232	532.7673654503138	-2.695422305605048	4.142992833079722e-18	3.2282722107210183e-16	long	short	long_short	TRUE
NonamEVm002571	48.049584139015224	-4.977372497539028	4.314573791720229e-18	3.335704862723702e-16	long	short	long_short	TRUE
NonamEVm000020	997.5784242020503	-2.649630713363274	4.380461669366996e-18	3.3603913705469605e-16	long	short	long_short	TRUE
NonamEVm003431	469.9852657049233	-2.9055293104880944	4.437806349389093e-18	3.3781947410426514e-16	long	short	long_short	TRUE
NonamEVm002196	493.08514212252373	-2.7839303873065235	5.228466147183421e-18	3.9496870986661937e-16	long	short	long_short	TRUE
NonamEVm000064	154.69360041420398	-2.591597897206826	5.2723789737987215e-18	3.9526865397509205e-16	long	short	long_short	TRUE
NonamEVm000464	1165.443430612051	-2.233522328979535	5.324977335495067e-18	3.9621034369969313e-16	long	short	long_short	TRUE
NonamEVm002460	8038.7627813770605	-3.4760477580540408	6.531507734578884e-18	4.823567204581541e-16	long	short	long_short	TRUE
NonamEVm000667	1651.3211523272096	-2.3413598364231154	7.472387306992981e-18	5.477536651111299e-16	long	short	long_short	TRUE
NonamEVm006913	258.73071006145227	2.5903419301660082	8.43251034495571e-18	6.135891351006008e-16	long	short	long_short	TRUE
