term	gene	description	ontology
GO:0000001	NonamEVm000753	mitochondrion inheritance	BP
GO:0000001	NonamEVm011746	mitochondrion inheritance	BP
GO:0000001	NonamEVm005832	mitochondrion inheritance	BP
GO:0000001	NonamEVm009176	mitochondrion inheritance	BP
GO:0000001	NonamEVm006801	mitochondrion inheritance	BP
GO:0000001	NonamEVm007640	mitochondrion inheritance	BP
GO:0000009	NonamEVm003028	alpha-1,6-mannosyltransferase activity	MF
GO:0000009	NonamEVm005286	alpha-1,6-mannosyltransferase activity	MF
GO:0000012	NonamEVm001414	single strand break repair	BP
GO:0000012	NonamEVm010387	single strand break repair	BP
GO:0000014	NonamEVm008481	single-stranded DNA endodeoxyribonuclease activity	MF
GO:0000014	NonamEVm003930	single-stranded DNA endodeoxyribonuclease activity	MF
GO:0000014	NonamEVm001578	single-stranded DNA endodeoxyribonuclease activity	MF
GO:0000014	NonamEVm003377	single-stranded DNA endodeoxyribonuclease activity	MF
GO:0000014	NonamEVm000643	single-stranded DNA endodeoxyribonuclease activity	MF
GO:0000015	NonamEVm004641	phosphopyruvate hydratase complex	CC
GO:0000015	NonamEVm010087	phosphopyruvate hydratase complex	CC
GO:0000015	NonamEVm010782	phosphopyruvate hydratase complex	CC
GO:0000022	NonamEVm009092	mitotic spindle elongation	BP
GO:0000022	NonamEVm008218	mitotic spindle elongation	BP
GO:0000022	NonamEVm000406	mitotic spindle elongation	BP
GO:0000022	NonamEVm008210	mitotic spindle elongation	BP
GO:0000022	NonamEVm008777	mitotic spindle elongation	BP
GO:0000022	NonamEVm000254	mitotic spindle elongation	BP
GO:0000022	NonamEVm010493	mitotic spindle elongation	BP
GO:0000022	NonamEVm007680	mitotic spindle elongation	BP
GO:0000022	NonamEVm011166	mitotic spindle elongation	BP
GO:0000022	NonamEVm010379	mitotic spindle elongation	BP
GO:0000022	NonamEVm009134	mitotic spindle elongation	BP
GO:0000022	NonamEVm011545	mitotic spindle elongation	BP
GO:0000022	NonamEVm011829	mitotic spindle elongation	BP
GO:0000022	NonamEVm011482	mitotic spindle elongation	BP
GO:0000022	NonamEVm013035	mitotic spindle elongation	BP
GO:0000022	NonamEVm007524	mitotic spindle elongation	BP
GO:0000022	NonamEVm010068	mitotic spindle elongation	BP
GO:0000022	NonamEVm005046	mitotic spindle elongation	BP
GO:0000022	NonamEVm012236	mitotic spindle elongation	BP
GO:0000022	NonamEVm012045	mitotic spindle elongation	BP
GO:0000022	NonamEVm010029	mitotic spindle elongation	BP
GO:0000022	NonamEVm009908	mitotic spindle elongation	BP
GO:0000022	NonamEVm011308	mitotic spindle elongation	BP
GO:0000022	NonamEVm001502	mitotic spindle elongation	BP
GO:0000022	NonamEVm002847	mitotic spindle elongation	BP
GO:0000022	NonamEVm007154	mitotic spindle elongation	BP
GO:0000022	NonamEVm005211	mitotic spindle elongation	BP
GO:0000022	NonamEVm003135	mitotic spindle elongation	BP
GO:0000022	NonamEVm007773	mitotic spindle elongation	BP
GO:0000022	NonamEVm013057	mitotic spindle elongation	BP
GO:0000022	NonamEVm012041	mitotic spindle elongation	BP
GO:0000022	NonamEVm000107	mitotic spindle elongation	BP
GO:0000022	NonamEVm010495	mitotic spindle elongation	BP
GO:0000022	NonamEVm009382	mitotic spindle elongation	BP
GO:0000022	NonamEVm000221	mitotic spindle elongation	BP
GO:0000022	NonamEVm010792	mitotic spindle elongation	BP
GO:0000022	NonamEVm008023	mitotic spindle elongation	BP
GO:0000022	NonamEVm008055	mitotic spindle elongation	BP
GO:0000022	NonamEVm011022	mitotic spindle elongation	BP
GO:0000022	NonamEVm009098	mitotic spindle elongation	BP
GO:0000022	NonamEVm011522	mitotic spindle elongation	BP
GO:0000022	NonamEVm007693	mitotic spindle elongation	BP
GO:0000022	NonamEVm009157	mitotic spindle elongation	BP
GO:0000022	NonamEVm001380	mitotic spindle elongation	BP
GO:0000022	NonamEVm011315	mitotic spindle elongation	BP
GO:0000022	NonamEVm008128	mitotic spindle elongation	BP
GO:0000022	NonamEVm007425	mitotic spindle elongation	BP
GO:0000022	NonamEVm010090	mitotic spindle elongation	BP
GO:0000022	NonamEVm010271	mitotic spindle elongation	BP
GO:0000022	NonamEVm008005	mitotic spindle elongation	BP
GO:0000022	NonamEVm006753	mitotic spindle elongation	BP
GO:0000022	NonamEVm000354	mitotic spindle elongation	BP
GO:0000022	NonamEVm007357	mitotic spindle elongation	BP
GO:0000022	NonamEVm011879	mitotic spindle elongation	BP
GO:0000022	NonamEVm008101	mitotic spindle elongation	BP
GO:0000022	NonamEVm002449	mitotic spindle elongation	BP
GO:0000022	NonamEVm009229	mitotic spindle elongation	BP
GO:0000022	NonamEVm011018	mitotic spindle elongation	BP
GO:0000022	NonamEVm011186	mitotic spindle elongation	BP
GO:0000022	NonamEVm007596	mitotic spindle elongation	BP
GO:0000022	NonamEVm011480	mitotic spindle elongation	BP
GO:0000022	NonamEVm012500	mitotic spindle elongation	BP
GO:0000022	NonamEVm007034	mitotic spindle elongation	BP
GO:0000022	NonamEVm011328	mitotic spindle elongation	BP
GO:0000022	NonamEVm007904	mitotic spindle elongation	BP
GO:0000022	NonamEVm011176	mitotic spindle elongation	BP
GO:0000022	NonamEVm012778	mitotic spindle elongation	BP
GO:0000022	NonamEVm010805	mitotic spindle elongation	BP
GO:0000022	NonamEVm007969	mitotic spindle elongation	BP
GO:0000022	NonamEVm000560	mitotic spindle elongation	BP
GO:0000022	NonamEVm010028	mitotic spindle elongation	BP
GO:0000022	NonamEVm009773	mitotic spindle elongation	BP
GO:0000022	NonamEVm011507	mitotic spindle elongation	BP
GO:0000022	NonamEVm009746	mitotic spindle elongation	BP
GO:0000022	NonamEVm000222	mitotic spindle elongation	BP
GO:0000022	NonamEVm000667	mitotic spindle elongation	BP
GO:0000026	NonamEVm004258	alpha-1,2-mannosyltransferase activity	MF
GO:0000028	NonamEVm007524	ribosomal small subunit assembly	BP
GO:0000028	NonamEVm012435	ribosomal small subunit assembly	BP
GO:0000030	NonamEVm001650	mannosyltransferase activity	MF
GO:0000030	NonamEVm003028	mannosyltransferase activity	MF
GO:0000030	NonamEVm004139	mannosyltransferase activity	MF
